Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample
XP_005251033.1,74054.7,124349.4,57905.7,67453.5,113976.1,54892.9,41878.7,72004.0,39250.7,78459.0,131329.0,61290.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,80178.53333333334
XP_016873759.1,25771.4,22486.2,42002.5,24332.9,21067.5,37934.7,15718.3,14167.7,28127.6,24418.8,21835.2,39450.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,28113.70740740741,17241.533333333333,31427.98888888888,28113.70740740741,17048.41111111111,27558.16666666667,29596.79259259259,18993.759259259255,33355.5,25280.94444444444,16408.14074074074,29596.79259259259,25280.94444444444,16015.655555555559,29596.79259259259,25280.94444444444,15671.040740740744,28113.70740740741,26756.714814814815,17048.41111111111,29596.79259259259,20296.73333333333,13826.644444444442,24248.185185185186,22736.351851851847,14999.225925925924,27558.16666666667
NP_001104026.1,32481.8,42074.6,48838.3,31264.1,39870.3,45191.5,22106.3,28072.4,32174.6,33688.6,43499.4,46530.0,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,31427.98888888888,35542.33333333333,35542.33333333333,33355.5,35542.33333333333,35542.33333333333,42465.04074074075,42465.04074074075,35542.33333333333,32517.937037037038,34595.76666666667,35542.33333333333,42465.04074074075,37607.014814814815,37607.014814814815,44601.13703703704,44601.13703703704,42465.04074074075,37607.014814814815,37607.014814814815,37607.014814814815,35542.33333333333,31427.98888888888,32517.937037037038,34595.76666666667,30650.218518518515,31427.98888888888
NP_006280.3,19352.6,24082.6,25566.0,18193.2,23118.1,25173.6,12457.9,17340.7,20406.0,20672.8,25912.9,27516.3,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,20873.614814814813,17909.33703703704,19295.377777777772,21062.459259259256,18390.22222222222,20296.73333333333,23792.018518518522,23792.018518518522,25280.94444444444,21760.211111111115,19977.507407407407,20873.614814814813,23792.018518518522,24771.4074074074,25936.725925925926,23214.166666666668,21062.459259259256,24248.185185185186,20873.614814814813,23792.018518518522,24248.185185185186,25936.725925925926,24771.4074074074,25936.725925925926,25280.94444444444,27558.16666666667,28751.551851851844
NP_003371.2,84439.1,110019.1,75159.6,75966.0,98001.9,65937.9,47818.9,60445.9,42664.1,78924.3,103808.0,76800.7,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,42465.04074074075,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,44601.13703703704,67286.18148148149,67286.18148148149,44601.13703703704,80178.53333333334,67286.18148148149,50870.4
NP_733821.1,56570.4,66445.9,54005.2,52302.1,62699.7,50799.0,32198.3,38208.2,33367.3,52502.7,68047.3,55194.3,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,34595.76666666667,50870.4,50870.4,39181.1962962963,50870.4,44601.13703703704,33355.5,50870.4,44601.13703703704,34595.76666666667,50870.4,50870.4,35542.33333333333
NP_005091.2,11595.0,33603.8,14992.3,10290.7,30566.1,14268.7,6238.1,16728.7,8023.4,11015.1,33196.3,14327.0,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,11337.011111111111,25936.725925925926,12876.21111111111,10906.462962962964,24248.185185185186,12351.333333333334,10384.874074074074,22165.59259259259,10080.085185185184,11105.655555555553,25280.94444444444,11967.618518518519,10022.792592592594,22736.351851851847,10180.355555555554,15121.285185185186,35542.33333333333,16650.007407407407,22165.59259259259,50870.4,21760.211111111115,20581.51111111112,50870.4,21350.111111111117,20581.51111111112,42465.04074074075,17241.533333333333
NP_006608.1,39044.2,32999.6,21444.2,35084.1,31848.4,20728.0,19284.2,19396.5,14526.3,36987.7,33676.9,20717.9,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,44601.13703703704,24771.4074074074,16858.855555555554,44601.13703703704,25936.725925925926,16858.855555555554,35542.33333333333,28113.70740740741,18993.759259259255,44601.13703703704,25936.725925925926,16650.007407407407,37607.014814814815,25280.94444444444,17909.33703703704,42465.04074074075,28751.551851851844,17909.33703703704,35542.33333333333,25280.94444444444,17435.325925925925,42465.04074074075,26756.714814814815,17909.33703703704,42465.04074074075,29596.79259259259,21062.459259259256
NP_006588.1,32383.6,54593.5,65676.1,30377.5,49172.1,59524.1,19612.3,31493.8,41204.4,32720.6,55504.1,67534.6,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,30650.218518518515,42465.04074074075,44601.13703703704,32517.937037037038,42465.04074074075,44601.13703703704,37607.014814814815,44601.13703703704,67286.18148148149,30650.218518518515,44601.13703703704,50870.4,33355.5,44601.13703703704,67286.18148148149,31427.98888888888,42465.04074074075,80178.53333333334,39181.1962962963,42465.04074074075,80178.53333333334,37607.014814814815,42465.04074074075,80178.53333333334,37607.014814814815,44601.13703703704,67286.18148148149
NP_008835.5,11414.0,19681.0,10169.1,11549.2,19889.7,10528.4,10957.3,18174.7,11998.4,12807.2,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,11265.237037037035,15121.285185185186,8292.674074074072,11849.511111111111,16159.23333333333,9089.574074074075,19977.507407407407,25936.725925925926,15121.285185185186,12425.448148148149,17048.41111111111,9930.762962962963,22736.351851851847,31427.98888888888,18619.977777777778,15446.392592592589,22736.351851851847,11337.011111111111,14999.225925925924,19977.507407407407,13260.744444444446,16858.855555555554,23214.166666666668,14493.781481481481,19977.507407407407,25280.94444444444,16858.855555555554
